,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,High-income ,,Upper-middle-income,
,,,,Series,Cluster,Series,Cluster
,,,,gdp_current,Cluster 1,Mental disorders prevalence (Percent),Cluster 1
,,,,gdp_per_capita,Cluster 1,gdp_per_capita,Cluster 1
,,,,health expenditure (per capita),Cluster 1,health expenditure (per capita),Cluster 1
,,,,Income,Cluster 1,Income,Cluster 1
,,,,Mental disorders prevalence (Percent),Cluster 2,gdp_current,Cluster 2
,,,,health expenditure (% GDP),Cluster 2,Share of deaths from suicide (Percent),Cluster 3
,,,,unemployment rate (percent),Cluster 2,Mental and substance use disorder deaths (Rate),Cluster 3
,,,,Mental disorders burden (Percent),Cluster 2,health expenditure (% GDP),Cluster 3
,,,,Share of deaths from suicide (Percent),Cluster 3,unemployment rate (percent),Cluster 3
,,,,Mental and substance use disorder deaths (Rate),Cluster 3,Mental disorders burden (Percent),Cluster 3
,,,,Suicide rate,Cluster 3,Suicide rate,Cluster 3
,,,,Lower-middle-income,,Low-income,
,,,,Series,Cluster,Series,Cluster
,,,,gdp_per_capita,Cluster 1,Share of deaths from suicide (Percent),Cluster 1
,,,,health expenditure (% GDP),Cluster 1,Mental and substance use disorder deaths (Rate),Cluster 1
,,,,unemployment rate (percent),Cluster 1,gdp_current,Cluster 1
,,,,Income,Cluster 1,gdp_per_capita,Cluster 1
,,,,Mental disorders burden (Percent),Cluster 1,health expenditure (per capita),Cluster 1
,,,,Mental disorders prevalence (Percent),Cluster 2,Income,Cluster 1
,,,,gdp_current,Cluster 2,Mental disorders burden (Percent),Cluster 1
,,,,Share of deaths from suicide (Percent),Cluster 3,Suicide rate,Cluster 1
,,,,Mental and substance use disorder deaths (Rate),Cluster 3,Mental disorders prevalence (Percent),Cluster 2
,,,,health expenditure (per capita),Cluster 3,health expenditure (% GDP),Cluster 3
,,,,Suicide rate,Cluster 3,unemployment rate (percent),Cluster 3
