Series,Cluster
Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Cluster 1
Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),Cluster 1
gdp_current,Cluster 1
health expenditure (per capita),Cluster 1
health expenditure (% GDP),Cluster 1
unemployment rate,Cluster 1
DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent),Cluster 1
gdp_per_capita,Cluster 2
Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),Cluster 3
Income,Cluster 3
Suicide rate,Cluster 3
