,Entity,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),gdp_current,gdp_per_capita,health expenditure (per capita),health expenditure (% GDP),unemployment rate,Income group,Income,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent),Suicide rate
0,Afghanistan,2000,17.93926927393828,0.44253212786085,0.0903144716261102,,,,,10.80599976,Low income,,1.89388212535364,7.7 
1,Afghanistan,2001,17.933525004544553,0.45753095697461,0.0848622944929062,,,,,10.80900002,Low income,,1.96398424328996,7.9 
2,Afghanistan,2002,17.91654686478037,0.4619041514481,0.0819905649650304,4055179566.0,179.4265792,15.80316353,9.44338989,11.25699997,Low income,,2.09064615120801,7.9 
3,Afghanistan,2003,17.88970241777898,0.49059007227039,0.0819416912400468,4515558808.0,190.6838143,17.03574371,8.94125843,11.14099979,Low income,,2.24070664403631,7.7 
4,Afghanistan,2004,17.85990320792294,0.5149438165261301,0.0824681635353937,5226778809.0,211.3820742,20.4127636,9.80847359,10.98799992,Low income,,2.36017645391614,7.8 
5,Afghanistan,2005,17.82428705025902,0.5249469868837701,0.0819705910821336,6209137625.0,242.0313132,23.89050102,9.94828987,11.21700001,Low income,,2.47026110991657,7.6 
6,Afghanistan,2006,17.77296359703334,0.5298653799252601,0.0825714663168002,6971285595.0,263.7336019,27.83657074,10.62276554,11.09899998,Low income,,2.55832913766084,7.6 
7,Afghanistan,2007,17.68658589341464,0.5373046388534599,0.0834551172413231,9747879532.0,359.6931579,31.27183914,9.90467453,11.30099964,Low income,,2.6741101943902503,7.4 
8,Afghanistan,2008,17.581372236802608,0.55283883521449,0.0840382210456672,10109305183.0,364.663542,38.10266113,10.25649548,11.09300041,Low income,,2.81149898515447,7.2 
9,Afghanistan,2009,17.48152902997547,0.5670673499475399,0.0855537387463077,12416161049.0,437.2687402,41.72274399,9.81848717,11.31099987,Low income,450.0,2.95453608987598,6.8 
10,Afghanistan,2010,17.39516846483154,0.5800208440013199,0.0881683170141051,15856678596.0,543.3065262,44.99053192,8.56967163,11.35200024,Low income,510.0,3.0820187020112697,6.7 
11,Afghanistan,2011,17.32030518917141,0.5915594698141701,0.0906080076132141,17805113119.0,591.1900302,50.85347366,8.56190681,11.0539999,Low income,530.0,3.2111145699035,6.4 
12,Afghanistan,2012,17.25502932579598,0.59703164460894,0.0933039507076304,19907317066.0,638.8458516,51.44026184,7.89717579,11.3409996,Low income,630.0,3.31180880550234,6.2 
13,Afghanistan,2013,17.19881130454552,0.60521409859901,0.0961209420676525,20146404996.0,624.3154545,55.03462982,8.80594063,11.19299984,Low income,660.0,3.43100776589172,6.2 
