Entity,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Deaths - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),gdp_current,gdp_per_capita,health expenditure (per capita),health expenditure (% GDP),unemployment rate,Income group,Income,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent),Suicide rate
Afghanistan,1990,16.65922901,0.381464668,0.144066745,,,,,,Low income,,1.696670483,
Afghanistan,1991,16.76505205,0.388645544,0.140653438,,,,,10.64900017,Low income,,1.734281366,
Afghanistan,1992,16.8744687,0.409441236,0.135279043,,,,,10.8210001,Low income,,1.79118945,
Afghanistan,1993,16.99072037,0.418029708,0.1330469,,,,,10.72299957,Low income,,1.776779315,
Afghanistan,1994,17.11273008,0.409778728,0.130073071,,,,,10.72599983,Low income,,1.712985931,
Afghanistan,1995,17.23630679,0.41748818,0.126247248,,,,,11.1789999,Low income,,1.738271645,
Afghanistan,1996,17.39030146,0.426418243,0.121484183,,,,,10.96199989,Low income,,1.778097813,
Afghanistan,1997,17.5709799,0.425887848,0.118148513,,,,,10.78299999,Low income,,1.781815481,
Afghanistan,1998,17.7481686,0.407728797,0.115214697,,,,,10.80200005,Low income,,1.729402324,
Afghanistan,1999,17.88163135,0.434863085,0.102498266,,,,,10.80900002,Low income,,1.850987749,
Afghanistan,2000,17.93926927,0.442532128,0.090314472,,,,,10.80599976,Low income,,1.893882125,7.7
Afghanistan,2001,17.933525,0.457530957,0.084862294,,,,,10.80900002,Low income,,1.963984243,7.9
Afghanistan,2002,17.91654686,0.461904151,0.081990565,4055179566,179.4265792,179.4265792,9.44338989,11.25699997,Low income,,2.090646151,7.9
Afghanistan,2003,17.88970242,0.490590072,0.081941691,4515558808,190.6838143,190.6838143,8.94125843,11.14099979,Low income,,2.240706644,7.7
Afghanistan,2004,17.85990321,0.514943817,0.082468164,5226778809,211.3820742,211.3820742,9.80847359,10.98799992,Low income,,2.360176454,7.8
Afghanistan,2005,17.82428705,0.524946987,0.081970591,6209137625,242.0313132,242.0313132,9.94828987,11.21700001,Low income,,2.47026111,7.6
Afghanistan,2006,17.7729636,0.52986538,0.082571466,6971285595,263.7336019,263.7336019,10.62276554,11.09899998,Low income,,2.558329138,7.6
Afghanistan,2007,17.68658589,0.537304639,0.083455117,9747879532,359.6931579,359.6931579,9.90467453,11.30099964,Low income,,2.674110194,7.4
Afghanistan,2008,17.58137224,0.552838835,0.084038221,10109305183,364.663542,364.663542,10.25649548,11.09300041,Low income,,2.811498985,7.2
Afghanistan,2009,17.48152903,0.56706735,0.085553739,12416161049,437.2687402,437.2687402,9.81848717,11.31099987,Low income,450,2.95453609,6.8
Afghanistan,2010,17.39516846,0.580020844,0.088168317,15856678596,543.3065262,543.3065262,8.56967163,11.35200024,Low income,510,3.082018702,6.7
Afghanistan,2011,17.32030519,0.59155947,0.090608008,17805113119,591.1900302,591.1900302,8.56190681,11.0539999,Low income,530,3.21111457,6.4
Afghanistan,2012,17.25502933,0.597031645,0.093303951,19907317066,638.8458516,638.8458516,7.89717579,11.3409996,Low income,630,3.311808806,6.2
Afghanistan,2013,17.1988113,0.605214099,0.096120942,20146404996,624.3154545,624.3154545,8.80594063,11.19299984,Low income,660,3.431007766,6.2
Afghanistan,2014,17.15369385,0.595108623,0.09876372,20497126770,614.2233424,614.2233424,9.52887058,11.1420002,Low income,630,3.444342145,6
Afghanistan,2015,17.12541553,0.590807269,0.101825714,19134211764,556.0072209,556.0072209,10.10534763,11.12699986,Low income,600,3.460077381,6
Afghanistan,2016,17.11012868,0.593646562,0.105358997,18116562465,512.0127781,512.0127781,11.81856155,11.15799999,Low income,550,3.505516638,6
Afghanistan,2017,17.1032633,0.626825655,0.108398565,18753469630,516.6798622,516.6798622,12.62081718,11.18000031,Low income,530,3.729269234,6
Afghanistan,2018,17.10424437,0.619676768,,18053228579,485.6684187,485.6684187,14.12674332,11.15200043,Low income,520,3.817516855,5.9
Afghanistan,2019,17.11761173,0.638953172,,18799450743,494.1793499,494.1793499,13.24220181,11.21700001,Low income,530,3.991275425,6
Albania,1990,11.52880687,0.714569387,0.600402536,2028553750,617.2304355,617.2304355,,,Upper middle income,650,4.34094201,
Albania,1991,11.57774519,0.761949098,0.618724355,1099559028,336.5869945,336.5869945,,10.30700016,Upper middle income,410,4.321944824,
Albania,1992,11.61963018,0.762064934,0.616964026,652174990.8,200.8522198,200.8522198,,30.01499939,Upper middle income,280,4.434127878,
Albania,1993,11.65594488,0.776326589,0.602591106,1185315468,367.2792251,367.2792251,,25.25799942,Upper middle income,320,4.555623407,
Albania,1994,11.68245183,0.775429499,0.59191542,1880951520,586.4163396,586.4163396,,20.84000015,Upper middle income,380,4.716930074,
Albania,1995,11.70099757,0.812850443,0.602089086,2392764853,750.6044492,750.6044492,,14.61100006,Upper middle income,640,4.803974816,
Albania,1996,11.71131634,0.848346346,0.621530175,3199641336,1009.977275,1009.977275,,13.93099976,Upper middle income,890,4.862896393,
Albania,1997,11.71594317,0.829400355,0.63435861,2258513974,717.3800477,717.3800477,,16.87599945,Upper middle income,800,4.359075829,
Albania,1998,11.71701079,0.990365714,0.655690496,2545964541,813.7893966,813.7893966,,20.04700089,Upper middle income,860,5.051468837,
Albania,1999,11.71897442,0.956072184,0.720473144,3212121651,1033.242532,1033.242532,,20.84000015,Upper middle income,950,5.107101819,
Albania,2000,11.71942649,0.90455416,0.746068796,3480355258,1126.68334,1126.68334,7.2333703,19.02799988,Upper middle income,1100,5.199095469,5.2
Albania,2001,11.71102791,0.911947076,0.767656109,3922100794,1281.659826,1281.659826,7.13952398,18.57500076,Upper middle income,1280,5.397503662,4.7
Albania,2002,11.70261701,0.917835674,0.826649681,4348068242,1425.124219,1425.124219,6.90934134,17.89500046,Upper middle income,1370,5.427811366,4.8
Albania,2003,11.69014503,0.925360039,0.906206338,5611496257,1846.120121,1846.120121,7.06348991,16.98900032,Upper middle income,1650,5.382409728,4.9
Albania,2004,11.67775188,0.944583252,0.970300434,7184685782,2373.581292,2373.581292,6.77337217,16.30999947,Upper middle income,2100,5.427353414,4.9
Albania,2005,11.6593729,0.951870584,1.016116269,8052073539,2673.786584,2673.786584,6.33554173,15.97000027,Upper middle income,2620,5.544826978,7.7
Albania,2006,11.63877334,0.943427715,1.066748646,8896072919,2972.742924,2972.742924,6.00927734,15.63000011,Upper middle income,3050,5.713607095,7.8
Albania,2007,11.62024693,0.94549849,1.10571449,10677324144,3595.038057,3595.038057,6.31683397,15.97000027,Upper middle income,3460,5.854137468,8.1
Albania,2008,11.60241208,0.948766514,1.192760648,12881353508,4370.539925,4370.539925,5.1390624,13.06000042,Upper middle income,4030,5.827382698,8.1
Albania,2009,11.58498668,0.927337996,1.259973838,12044208086,4114.134899,4114.134899,4.6022253,13.67000008,Upper middle income,4280,5.898417871,8
Albania,2010,11.56868845,0.905871715,1.303447074,11926922829,4094.348386,4094.348386,4.7457962,14.09000015,Upper middle income,4360,5.884421679,7.6
Albania,2011,11.56657593,0.874379778,1.295978225,12890764531,4437.142612,4437.142612,4.79534149,13.47999954,Upper middle income,4410,5.819405227,7.6
Albania,2012,11.57076045,0.84392269,1.323596421,12319830437,4247.630047,4247.630047,5.05526543,13.38000011,Upper middle income,4360,5.778056289,4.8
Albania,2013,11.57598584,0.814156659,1.349707866,12776220507,4413.062005,4413.062005,5.38561106,15.86999989,Upper middle income,4540,5.728457791,4.8
Albania,2014,11.57874326,0.787624646,1.363702982,13228147516,4578.633208,4578.633208,5.50347328,18.04999924,Upper middle income,4540,5.637052407,4.5
Albania,2015,11.57676344,0.766259656,1.390172009,11386850130,3952.802538,3952.802538,4.89631176,17.19000053,Upper middle income,4390,5.548307297,4.2
Albania,2016,11.56444278,0.74165426,1.415020466,11861199831,4124.05539,4124.05539,4.91601658,15.42000008,Upper middle income,4320,5.494031145,4.2
Albania,2017,11.54847261,0.715664442,1.431827638,13019689337,4531.019374,4531.019374,5.01263571,13.61999989,Upper middle income,4290,5.437396969,4.1
Albania,2018,11.54789863,0.692317343,,15156432310,5287.663694,5287.663694,5.23207188,12.30000019,Upper middle income,4860,5.396927743,3.9
Albania,2019,11.55843099,0.669457137,,15400242875,5395.659532,5395.659532,,11.47000027,Upper middle income,5220,5.350384824,3.7
Algeria,1990,14.95102043,0.913479419,0.50356715,62048562947,2408.822985,2408.822985,,,Lower middle income,2370,4.346284525,
Algeria,1991,14.96408065,0.907065699,0.515006053,45715614560,1731.62137,1731.62137,,20.60000038,Lower middle income,1980,4.558152561,
Algeria,1992,14.97028025,0.915417887,0.528212647,48003078389,1776.028278,1776.028278,,24.37999916,Lower middle income,1900,4.730693789,
Algeria,1993,14.98066601,0.925577174,0.541891862,49945599429,1807.297451,1807.297451,,26.22999954,Lower middle income,1730,4.902382758,
Algeria,1994,14.98511992,0.939737002,0.569583372,42543178042,1507.886663,1507.886663,,27.73999977,Lower middle income,1620,5.022762426,
Algeria,1995,14.98511157,0.952234339,0.577727443,41764315330,1452.278434,1452.278434,,31.84000015,Lower middle income,1550,5.19236074,
Algeria,1996,14.98273227,0.979265245,0.585241328,46941582519,1603.940302,1603.940302,,28.53100014,Lower middle income,1520,5.460332883,
Algeria,1997,14.97893414,0.972230201,0.59279974,48177612042,1619.797749,1619.797749,,25.43000031,Lower middle income,1510,5.505331209,
Algeria,1998,14.97609532,0.984003379,0.594642017,48187747529,1596.003926,1596.003926,,26.66200066,Lower middle income,1540,5.729460904,
Algeria,1999,14.97435449,1.015977159,0.535907441,48640653469,1588.348908,1588.348908,,28.30200005,Lower middle income,1530,5.99445686,
Algeria,2000,14.96918824,1.012233333,0.469373185,54790392746,1765.027146,1765.027146,3.48903275,29.77000046,Lower middle income,1590,6.108074368,4.7
Algeria,2001,14.95629761,1.017909993,0.445828657,54744712815,1740.606654,1740.606654,3.83787704,27.29999924,Lower middle income,1670,6.279749075,4.6
Algeria,2002,14.93109525,1.019283732,0.443150823,56760355865,1781.828908,1781.828908,3.7300415,25.89999962,Lower middle income,1730,6.441811426,4.4
Algeria,2003,14.90449197,0.979893875,0.43960496,67863828413,2103.381291,2103.381291,3.60104108,23.71999931,Lower middle income,1920,6.522382255,4.1
