Entity,Year,gdp_current,gdp_per_capita,health expenditure (per capita),health expenditure (% GDP),unemployment rate,Income group,Income
Aruba,2000,1873452514.0,20617.75047,,,,High income,20000.0
Africa Eastern and Southern,2000,283953000000.0,713.2459211,44.19524895,6.252427801,7.724844286,,
Afghanistan,2000,,,,,10.80599976,Low income,
Africa Western and Central,2000,140408000000.0,525.4503429,20.36279182,3.771293562,4.921423164,,
Angola,2000,9129634978.0,556.8386317,12.99896717,1.90859938,4.03000021,Lower middle income,360.0
Albania,2000,3480355258.0,1126.68334,80.61695099,7.2333703,19.02799988,Upper middle income,1100.0
Andorra,2000,1429049198.0,21854.2468,1302.620728,5.96051121,,High income,
Arab World,2000,816039000000.0,2890.227674,113.338487,4.00092337,12.59610141,,
United Arab Emirates,2000,104337000000.0,33291.36625,787.0211182,2.37413526,2.25,High income,31400.0
Argentina,2000,284204000000.0,7708.099115,708.7695313,8.2200098,15.0,Upper middle income,7470.0
Armenia,2000,1911563669.0,622.7409229,26.12908936,4.19580364,11.04800034,Upper middle income,660.0
American Samoa,2000,,,,,,Upper middle income,
Antigua and Barbuda,2000,826370370.4,10872.29295,512.5682983,4.69438457,,High income,10100.0
Australia,2000,415576000000.0,21697.70848,1638.814941,7.61383343,6.28000021,High income,21120.0
Austria,2000,197290000000.0,24625.60072,2269.126465,9.20371437,4.690000057,High income,5380.0
Azerbaijan,2000,5272798391.0,655.1199452,19.14171791,2.94894385,11.77999973,Upper middle income,610.0
Burundi,2000,870486065.9,136.4639708,8.42834568,6.17697144,1.590000033,Low income,130.0
Belgium,2000,236792000000.0,23098.88651,1849.916016,7.9991765,6.590000153,High income,1940.0
Benin,2000,3519991326.0,512.673902,15.90676403,3.10270309,0.851000011,Lower middle income,480.0
Burkina Faso,2000,2968369991.0,255.7186873,7.54438114,2.9502635,2.605000019,Low income,270.0
Bangladesh,2000,53369787319.0,418.0689421,8.56026173,2.07144356,3.269999981,Lower middle income,440.0
Bulgaria,2000,13245833844.0,1621.242961,94.49745178,5.82971001,16.21999931,Upper middle income,1660.0
Bahrain,2000,9062898936.0,13636.41675,485.6864624,3.56132603,1.083999991,High income,10940.0
Bahamas,2000,8076470000.0,27098.15632,1030.968994,3.80487037,7.201000214,High income,26360.0
Bosnia and Herzegovina,2000,5567405599.0,1484.176056,113.3132629,7.65342188,25.78300095,Upper middle income,1490.0
Belarus,2000,12736856828.0,1276.288034,57.66816711,5.2760601,12.26200008,Upper middle income,1380.0
Belize,2000,832072450.0,3364.491731,132.7074585,3.99033976,10.85099983,Lower middle income,3150.0
Bermuda,2000,3480219000.0,56284.16865,,,,High income,
Bolivia,2000,8397912509.0,997.5817489,43.84843826,4.39554119,2.378000021,Lower middle income,980.0
Brazil,2000,655448000000.0,3749.910848,312.5392761,8.33459282,9.56099987,Upper middle income,3930.0
Barbados,2000,3059500000.0,11268.42006,600.80896,5.33187246,9.350000381,High income,10780.0
Brunei Darussalam,2000,6001153306.0,18012.50219,508.5484009,2.5512445,5.677999973,High income,14680.0
Bhutan,2000,424464089.9,718.196337,30.89350891,4.44684267,1.593000054,Lower middle income,700.0
Botswana,2000,5788329609.0,3522.310821,205.2371521,5.82726383,15.88000011,Upper middle income,3170.0
Central African Republic,2000,914500299.1,251.2072914,10.18517113,4.27478456,5.609000206,Low income,260.0
Canada,2000,744773000000.0,24271.00206,2007.880859,8.24814415,6.829999924,High income,22620.0
Central Europe and the Baltics,2000,428307000000.0,3949.43197,221.140527,5.704258679,12.43357487,,
Switzerland,2000,279841000000.0,38952.0342,3559.819824,9.11401939,2.670000076,High income,44680.0
Channel Islands,2000,6439703435.0,43382.82685,,,5.662000179,High income,42510.0
Chile,2000,77860932152.0,5074.902616,356.9637756,7.03517628,10.48999977,High income,5060.0
China,2000,1211350000000.0,959.3724836,42.11240387,4.50827932,3.25999999,Upper middle income,940.0
Cote d'Ivoire,2000,16577533355.0,1007.46739,55.2961998,6.12684488,4.584000111,Lower middle income,650.0
Cameroon,2000,10566578953.0,681.102043,28.0037632,4.29762173,7.59100008,Lower middle income,660.0
"Congo, Dem. Rep.",2000,19088046306.0,405.2162186,19.86825752,1.55040038,2.904000044,Low income,130.0
Congo,2000,3227927593.0,1032.137542,17.48368263,1.50500607,19.89500046,Lower middle income,570.0
Colombia,2000,99886577331.0,2520.481089,132.879715,5.63529348,20.52000046,Upper middle income,2340.0
Comoros,2000,351136568.4,647.4258118,47.0023613,7.51418018,4.681000233,Lower middle income,730.0
Cabo Verde,2000,539227277.6,1259.353067,63.03440475,4.43401194,10.9829998,Lower middle income,1410.0
Costa Rica,2000,15013629659.0,3789.053886,248.753418,6.56498814,5.079999924,Upper middle income,3570.0
Caribbean small states,2000,34218221461.0,5253.442083,254.4274559,4.69501584,13.37608844,,
Cuba,2000,30565400000.0,2747.100303,180.8112183,6.58189821,5.449999809,Upper middle income,2620.0
Curacao,2000,,,,,,High income,
Cayman Islands,2000,,,,,,High income,
Cyprus,2000,9985844486.0,14388.34806,750.5167236,5.30800056,4.96999979,High income,14180.0
Czechia,2000,61828166496.0,6029.038193,342.921051,5.70103025,8.760000229,High income,6340.0
Germany,2000,1947980000000.0,23694.76048,2344.354736,9.8881979,7.920000076,High income,20190.0
Djibouti,2000,551230861.9,768.1835703,31.95798492,2.93908072,28.34499931,Lower middle income,
Dominica,2000,333470370.4,4787.801441,254.785553,5.3237443,,Upper middle income,4220.0
Denmark,2000,164159000000.0,30743.54768,2496.047119,8.10438347,4.480000019,High income,32580.0
Dominican Republic,2000,24305717542.0,2869.178139,140.138855,4.88427496,6.429999828,Upper middle income,2680.0
Algeria,2000,54790392746.0,1765.027146,61.58218002,3.48903275,29.77000046,Lower middle income,1590.0
East Asia & Pacific (excluding high income),2000,1734540000000.0,954.9017778,37.87869871,3.951575229,3.405416825,,
Early-demographic dividend,2000,3382440000000.0,1367.827703,67.22962536,4.873714174,6.235296187,,
East Asia & Pacific,2000,8373290000000.0,4089.237805,239.077461,6.108871632,3.535480292,,
Europe & Central Asia (excluding high income),2000,700114000000.0,1787.928419,90.60054877,4.896573812,10.7015704,,
Europe & Central Asia,2000,10062600000000.0,11683.48377,939.8724977,8.009008238,9.817371885,,
Ecuador,2000,18327764882.0,1445.279324,48.12062454,3.33109641,4.800000191,Upper middle income,1550.0
Egypt,2000,99838543960.0,1450.476242,73.65684509,4.92244291,8.979999542,Lower middle income,1420.0
Euro area,2000,6495500000000.0,20215.63404,1750.663447,8.642338739,9.426751325,,
Eritrea,2000,706370815.6,308.1341868,13.75257683,5.76670074,5.876999855,Low income,300.0
Spain,2000,598363000000.0,14749.68742,1005.283997,6.79921818,13.78999996,High income,290.0
Estonia,2000,5686579748.0,4070.609024,209.7131348,5.15698433,13.35999966,High income,
Ethiopia,2000,8242392104.0,124.4607909,5.38449526,4.3650465,3.509000063,Low income,130.0
European Union,2000,7276100000000.0,16947.62486,1432.315498,8.435590142,9.827535744,,
Fragile and conflict affected situations,2000,501197000000.0,875.7538231,38.44665779,4.908068327,5.669626634,,
Finland,2000,126020000000.0,24345.91482,1722.832642,7.09253168,11.13000011,High income,10380.0
Fiji,2000,1678239218.0,2069.317455,77.02472687,3.42441201,3.992000103,Upper middle income,2230.0
France,2000,1365640000000.0,22419.69482,2161.853027,9.58447742,10.22000027,High income,9130.0
Faroe Islands,2000,1058702725.0,22651.86198,,,,,
"Micronesia, Fed. Sts.",2000,233271800.0,2171.889577,168.4578552,7.76511145,,Lower middle income,2210.0
